Items_Produced,Amount_of_Waste
4649,323.54
1082,76.2
291,24.59
2025,141.13
1645,100.98
111,0.0
2728,189.68
1509,98.38
3212,212.49
1421,98.31
2537,183.03
1277,102.7
3645,270.41
4617,318.03
4468,329.5
4368,301.53
1489,138.5
958,65.96
316,17.55
1867,123.3
1910,118.2
3103,243.61
313,37.17
4846,356.39
4919,358.87
2483,188.32
1616,135.01
4110,282.48
1966,126.41
722,58.69
4841,346.86
2508,182.11
2598,182.3
3745,253.83
4185,296.6
2934,195.82
1374,83.54
4557,323.95
557,27.3
3459,255.68
4738,315.52
1321,104.88
2897,178.63
968,52.48
208,38.93
1286,110.75
3918,256.48
4026,282.91
3997,260.98
3302,241.62
3473,247.26
4056,283.3
2083,138.62
4462,323.39
3524,251.88
2974,186.62
2815,196.41
1717,107.11
4037,285.23
4282,299.5
4102,289.98
3314,240.33
2261,141.07
3692,260.39
1515,122.91
4605,334.97
4980,340.82
1774,127.69
4283,289.77
1418,109.85
4190,283.26
950,44.51
421,40.99
279,48.05
4826,352.78
2525,195.99
3668,240.81
2371,181.81
310,36.95
572,49.55
4245,276.65
2849,215.77
4634,337.01
3972,277.38
4720,324.77
796,70.53
1484,84.31
1894,124.91
242,44.5
2881,187.83
583,66.66
4910,338.16
590,32.45
1759,138.23
769,62.19
2067,175.19
1829,123.43
4051,274.89
689,51.57
865,56.4
2906,217.6
4506,324.77
3650,259.87
543,71.32
1069,43.66
1227,81.22
2560,177.77
1940,151.66
2096,157.12
3529,235.01
1492,87.21
3901,262.94
1673,113.25
2013,162.3
2258,167.29
4321,286.57
1934,129.61
2965,225.83
1281,87.38
2423,185.77
2611,187.83
114,17.58
999,98.73
2887,201.28
3847,254.5
4101,277.85
1590,111.71
3531,247.4
3469,233.99
2456,192.43
1148,82.35
3508,255.44
4171,270.65
3022,189.8
2430,160.35
4071,296.76
4450,288.04
4982,332.78
3316,204.21
3910,241.65
4724,337.26
1847,152.06
1960,147.22
1733,126.09
1115,73.6
650,50.44
4522,314.38
1324,101.83
847,53.16
1019,78.64
3154,193.02
4989,317.78
2804,214.69
3855,257.7
412,48.29
3789,273.48
1382,86.96
1015,71.85
1000,68.02
1788,140.84
4076,271.45
3163,234.13
1521,95.31
2926,184.69
4853,320.51
4408,294.97
2523,164.1
2025,135.52
3686,254.85
685,38.72
800,49.92
2101,168.28
3333,225.91
725,44.68
2737,183.86
2598,194.04
3016,178.19
589,35.38
3770,262.01
815,35.83
2228,147.86
3079,205.03
4426,309.34
2566,170.46
4642,298.25
2907,216.24
3870,272.5
1495,106.65
2033,164.06
1724,112.55
3638,274.99
2316,164.0
927,49.84
1629,113.57
668,61.35
449,9.08
4554,321.29
2588,199.43
2209,173.02
2672,176.86
289,7.62
166,0.0
838,64.12
1549,98.52
4165,304.47
1828,106.51
4062,287.83
4753,332.88
573,38.08
193,22.08
3409,232.65
1959,156.53
1751,107.88
2568,194.39
413,9.97
1067,73.6
4626,308.54
4177,279.49
970,60.82
1497,100.48
1154,101.79
1793,126.52
509,48.25
609,25.84
2099,150.81
3385,249.89
4419,300.41
4561,323.76
880,57.58
4604,321.06
2203,146.47
4123,275.85
1585,133.74
292,16.39
3764,303.07
1688,121.43
4787,337.98
3192,231.71
458,26.7
3669,277.17
2000,141.7
2686,195.52
2602,180.19
162,13.82
1663,100.51
578,73.11
2368,167.34
4365,299.8
3771,255.59
4509,317.03
2637,174.54
1031,58.22
4182,300.96
1816,110.41
4660,292.94
425,37.66
3780,271.85
3935,274.4
3867,269.64
2323,161.31
3667,262.86
4367,306.18
3645,266.52
1679,126.02
3562,244.28
4951,349.36
3976,283.62
2234,128.97
780,52.4
4035,272.93
576,49.38
718,32.96
654,47.81
370,23.06
3990,250.18
4655,342.09
278,25.6
3246,214.34
3327,236.54
2474,176.74
3290,213.53
1414,87.38
1762,107.02
2423,140.89
2872,220.28
3429,273.03
3065,206.65
2108,135.68
4893,330.2
903,73.63
706,65.35
3677,269.36
4339,316.1
343,37.04
1528,99.28
286,0.0
2380,176.45
3750,261.82
2256,164.83
2045,140.45
774,59.32
2796,202.97
1772,123.4
3480,273.31
788,54.6
2057,128.42
4070,284.75
206,7.79
2832,179.34
2577,205.84
3666,262.33
4466,301.72
3633,260.6
1651,130.77
1908,108.02
4733,357.9
4307,283.34
1318,109.06
2179,125.52
2975,221.17
4609,312.92
3592,285.71
1771,112.63
1666,103.22
230,4.51
951,74.54
2728,206.27
3109,203.26
3094,224.86
1889,130.29
2571,166.47
1556,111.06
1100,112.72
207,18.31
912,47.17
378,37.73
2617,193.73
3300,224.0
2310,167.89
192,0.0
121,0.0
3712,256.53
1313,84.12
2286,158.43
3287,234.01
696,44.61
1752,129.44
3024,208.89
2990,213.89
4025,274.16
662,57.89
334,28.92
2028,116.72
1127,83.48
2878,205.33
3097,202.18
1450,121.43
1345,87.72
1517,88.92
264,0.0
1092,85.56
3730,263.54
4730,309.74
4430,317.32
4604,332.97
1481,100.93
2035,151.69
3632,232.36
2694,180.17
1480,108.86
4007,322.27
1384,106.92
1425,97.32
756,37.66
4962,341.37
1369,116.07
2389,182.94
261,37.92
3229,221.99
4811,332.5
3405,220.41
1059,85.03
3681,276.93
1176,78.82
3570,236.67
3911,254.77
917,80.78
1599,99.34
1061,59.12
4515,292.91
505,43.98
3007,253.87
2477,184.34
3861,247.79
2454,162.71
2078,113.96
1291,109.43
1952,128.43
2299,165.34
1341,94.23
1030,86.99
3025,211.5
825,71.67
2572,182.65
295,8.63
3255,233.05
328,25.87
358,20.59
3104,209.63
214,43.46
1895,160.76
1071,62.64
4573,299.21
1316,96.01
3771,269.65
3522,257.04
2999,204.92
539,69.96
4945,371.09
1543,132.28
1727,102.37
2349,132.07
3106,202.05
2248,165.24
2337,174.53
1338,87.23
1957,141.71
897,82.9
1542,128.08
119,0.0
965,63.74
2193,134.86
921,16.61
2772,197.77
3387,209.43
1524,88.6
4445,283.27
2245,172.46
1617,121.66
2902,241.26
4279,317.32
2376,157.15
2967,220.82
2665,186.41
1387,99.22
3390,226.41
2323,172.86
236,10.12
2362,158.03
1465,100.57
4655,335.66
3544,230.13
3553,254.08
324,2.19
1112,70.03
1818,118.75
3285,242.06
1626,119.56
3989,293.32
1850,143.56
2225,188.09
812,32.35
4633,315.06
1883,110.42
993,76.81
530,42.07
636,33.84
2300,166.51
2562,197.24
4014,256.94
3973,277.57
2585,183.74
1371,79.78
207,0.0
1424,95.94
3063,218.43
2603,196.92
3476,249.43
1627,124.41
4876,356.06
2399,191.56
3620,254.89
2015,113.39
4636,347.33
164,43.96
2693,187.21
3122,247.24
2464,182.51
3314,241.71
923,67.03
4199,271.71
2077,147.49
3964,302.37
2104,158.11
3913,273.03
765,30.7
4497,329.1
4823,338.64
1520,110.35
1101,72.1
4352,315.53
2515,192.36
1091,80.98
885,83.68
3317,247.33
3834,273.88
1460,97.61
1794,119.83
2102,119.44
4358,290.07
320,20.46
3527,251.7
3501,246.2
2964,221.55
4181,296.92
1019,61.41
2146,139.98
1449,108.95
4864,323.78
2370,162.08
2534,185.52
3336,219.5
2138,141.96
2567,179.61
4965,350.3
4665,332.82
1293,91.27
1618,111.72
2473,168.3
4219,312.54
827,45.58
468,47.67
1628,114.08
3461,239.65
4246,300.28
3306,218.69
1996,153.34
3738,270.7
4831,330.15
4441,318.11
3705,250.99
2706,174.8
3800,270.34
2360,162.94
1982,136.82
2256,173.52
4891,352.4
1784,136.83
4684,314.15
3513,244.9
977,79.06
524,53.11
4541,317.14
1532,88.9
2150,160.1
4330,313.65
665,46.0
987,76.18
3858,249.86
4762,346.37
1440,108.02
4612,312.42
1223,106.14
4873,317.89
741,54.03
3410,257.73
2264,189.19
1937,120.28
2882,205.35
1552,106.74
4375,306.46
2928,206.76
233,22.89
3264,262.36
4924,362.79
938,43.39
4206,282.86
2211,166.2
4127,272.3
2233,139.93
2347,158.11
2330,175.58
4028,296.4
1769,110.53
124,0.0
495,50.23
1195,95.44
2745,194.29
2534,175.36
4447,311.09
3501,247.13
2759,184.85
4920,363.61
3232,196.02
4352,320.72
3013,198.71
204,0.0
4569,326.41
1070,83.7
4883,338.16
2673,195.46
848,31.13
3060,233.06
4135,272.42
2188,165.77
4317,303.0
3003,211.44
463,7.56
340,51.93
4280,317.42
2316,150.68
4776,356.11
3088,210.83
2642,179.14
1523,87.64
716,47.19
4458,311.56
598,30.28
935,76.45
4023,304.91
2735,202.39
2909,179.47
3253,205.58
3366,239.01
2758,207.87
482,30.16
2731,192.68
3308,232.45
1957,132.7
4178,299.12
2615,187.81
700,63.98
2600,165.94
773,28.88
2712,189.56
901,56.52
3916,264.52
288,6.9
2532,192.11
3091,214.6
3571,285.11
3574,246.32
1180,72.67
4046,297.3
2442,200.99
3171,214.51
3333,246.35
3286,211.05
2644,181.32
2904,186.73
4696,335.53
3053,210.56
742,41.96
1039,88.29
115,0.0
3721,291.62
2338,172.67
2540,192.59
2581,199.94
3305,244.44
2942,179.23
4251,273.15
1266,73.6
964,60.9
1659,136.51
4890,321.02
1147,65.48
3702,250.16
2234,157.81
4826,345.82
4263,283.29
718,74.04
1683,125.73
1832,132.01
3293,232.74
584,18.55
3989,277.43
2725,191.92
4301,313.26
3128,230.59
815,78.85
1071,79.01
940,47.6
2536,195.18
1909,158.85
476,42.31
3620,278.28
537,41.77
4279,293.12
887,54.1
1311,71.38
3998,276.98
332,5.01
1484,140.59
4811,323.6
2543,194.41
1833,106.2
4518,309.71
1929,131.78
4761,328.55
4418,308.67
647,59.55
3869,295.96
1527,110.81
2213,151.96
2227,140.64
1221,83.66
462,11.09
4113,284.81
1056,110.14
4437,337.01
2251,162.58
3252,243.14
1992,130.83
4251,285.03
589,28.95
3552,245.65
215,30.7
3107,200.6
2331,172.31
2824,210.81
3961,280.67
3393,227.58
929,71.4
2717,193.07
3388,248.15
2086,163.96
950,48.84
3243,233.62
1141,89.03
2221,162.66
1801,133.67
2552,173.59
3408,222.77
334,0.26
596,57.5
2949,206.71
4037,288.1
4482,316.24
1733,118.78
1847,145.46
4669,322.31
2854,210.73
2132,147.81
3504,212.25
3951,267.48
3634,271.2
1881,117.85
2077,155.51
1247,92.47
2581,182.08
1196,86.46
689,57.69
1811,131.28
1342,78.59
2575,197.01
1283,118.15
3853,249.79
1621,106.26
905,87.71
2890,193.96
704,56.91
3919,272.66
2819,218.1
2781,190.81
1124,53.36
3913,283.21
3656,272.97
1543,114.23
4811,324.98
3835,264.37
946,70.11
1468,112.11
4322,314.48
561,36.74
239,24.47
2735,180.99
878,85.97
296,0.0
3505,273.34
4751,310.11
960,59.72
421,5.96
1829,136.01
111,14.0
2600,173.03
1839,108.5
1540,122.06
1437,96.73
1300,92.06
3334,218.88
944,76.94
3437,236.12
1058,78.25
562,28.73
4617,329.93
1068,71.99
4512,289.61
2877,206.59
1317,101.67
645,30.17
3956,297.79
4533,301.87
463,39.69
1720,146.03
2273,188.59
4049,267.16
1891,144.25
3782,258.16
1607,98.48
1904,137.1
1334,108.4
4082,284.15
1706,97.01
2267,139.24
4720,341.7
588,48.74
4179,300.21
2473,153.9
4915,334.32
296,11.95
2096,128.24
893,64.33
4754,321.79
756,49.47
1966,125.43
2865,182.96
4122,270.22
3449,228.19
4746,336.88
962,53.97
204,16.54
3596,269.06
966,68.24
401,8.44
4928,337.04
896,79.24
2623,183.68
1448,89.75
723,42.48
1309,112.57
383,42.02
3074,213.56
675,44.45
191,18.79
1277,79.6
2495,189.08
1545,109.19
3042,195.34
4598,335.56
1088,62.68
1083,48.71
1337,109.63
3947,290.46
4599,311.46
4474,342.58
255,31.14
1786,92.89
760,41.29
3452,261.31
2948,239.01
2717,188.71
3640,266.5
820,49.56
4558,325.67
4381,301.45
3345,209.61
3512,243.28
3494,287.93
3271,222.71
3108,219.5
1908,139.98
2120,146.26
3161,210.35
766,59.33
1994,147.58
1137,81.24
1256,79.02
397,23.11
382,15.42
2103,156.72
1073,79.32
714,51.68
4749,317.64
4683,309.12
1192,81.44
3074,184.09
1435,107.51
3434,236.9
1925,122.38
3626,230.73
273,20.29
2303,166.59
3216,246.67
1731,113.25
2794,216.43
657,48.2
3698,261.73
1562,137.64
4869,349.07
1436,106.76
2023,133.54
1376,77.39
295,27.39
2022,147.59
4441,307.57
2102,142.88
4734,311.21
3161,214.04
1648,128.64
1113,77.56
1158,62.19
1910,134.92
2191,186.09
3277,260.03
4752,316.59
2100,128.91
4315,292.94
4348,296.97
972,63.48
1239,63.21
1745,126.79
2399,155.67
3990,279.46
2465,166.85
4150,283.12
2283,137.83
1452,93.9
3061,196.71
4249,279.0
655,27.09
1761,126.28
550,10.28
4575,337.04
1470,118.57
2437,200.47
4443,295.6
275,17.62
3042,206.37
1409,83.98
3207,212.02
2682,205.9
1472,116.37
322,12.55
4619,329.12
4884,351.5
1730,99.47
3304,227.36
4997,362.89
4348,264.52
4272,293.68
4363,306.13
1525,99.7
4581,311.26
3961,283.75
3121,218.73
1232,50.48
238,10.91
1703,95.55
3551,250.21
667,33.21
329,29.91
3168,186.06
2899,198.57
4307,300.61
2714,164.43
2455,180.12
3268,240.49
2114,150.99
546,24.95
3698,230.81
2788,183.92
811,60.77
1178,104.98
984,75.13
2643,155.53
3910,272.08
1007,73.44
816,30.43
2333,157.27
1088,89.38
2613,185.39
1875,114.68
1518,114.53
3835,266.91
3443,259.45
4526,292.96
964,59.67
2820,168.72
1311,78.18
3234,239.36
4979,363.82
4048,313.33
3139,209.21
2631,210.71
1489,121.04
275,14.61
3073,218.06
3169,213.92
190,25.37
3065,192.66
2353,153.11
4489,316.8
976,70.59
500,36.05
3610,235.55
415,11.54
1558,102.55
1138,48.97
1623,126.54
3310,243.67
4708,337.23
1103,77.65
2966,203.13
4924,318.37
3171,233.66
4298,303.32
1010,94.43
943,65.54
4032,279.27
4125,275.88
2518,183.58
2724,198.89
3664,276.42
3910,287.37
1247,80.69
3735,240.86
529,52.03
1134,72.68
4781,328.76
1067,70.14
2803,225.33
4792,342.46
4003,292.24
1896,154.71
3120,222.9
2288,152.26
360,5.39
1092,69.81
2931,209.63
4471,320.75
525,31.94
4169,281.65
1919,129.83
4403,301.89
3544,265.6
3950,293.68
4912,350.2
4656,317.77
1570,112.74
1253,103.85
3531,248.92
1981,142.7
1761,129.74
2132,149.23
1996,146.89
740,31.25
4043,275.87
1061,91.35
4887,340.06
1120,89.96
972,60.47
3732,267.5
4410,295.36
1501,107.26
2155,129.68
711,70.38
3412,250.48
1238,99.01
1480,96.34
1135,80.54
2711,187.76
1051,31.9
1085,64.42
2205,149.27
277,21.71
1343,88.4
4877,350.07
1377,87.97
324,37.61
2609,187.89
3492,247.38
4772,318.18
4542,329.38
3371,251.99
3629,270.04
1399,95.74
3362,239.15
2980,210.22
3777,234.27
188,24.68
3261,223.39
163,12.45
874,46.58
2733,166.12
4393,316.45
743,64.11
4747,329.47
1901,137.81
480,15.33
2202,153.62
2089,151.02
4480,333.09
2070,146.24
506,15.68
2882,229.43
2887,209.52
552,45.8
4437,307.91
4095,265.95
815,57.5
2308,155.29
2819,209.98
1671,108.28
548,24.14
3823,270.02
2073,139.35
598,35.72
582,35.28
3423,252.82
3231,208.15
3860,268.95
1659,105.52
934,54.61
3123,205.05
1019,93.31
4269,289.41
1909,135.15
4591,343.72
4022,285.67
2456,143.61
2678,198.24
3742,247.41
421,0.47
1630,119.59
3826,266.08
3098,214.21
1383,99.21
2743,184.33
2119,152.78
3491,256.52
1768,120.32
481,27.64
2877,188.82
380,33.74
4484,330.92
4875,337.55
1156,88.08
3265,220.75
1934,131.59
4511,335.21
1148,71.54
3145,231.08
4244,289.03
4900,314.46
2953,221.65
3954,298.45
4234,289.84
4611,339.97
2219,140.74
1216,104.06
933,60.33
4630,314.03
3890,257.13
2625,208.8
2260,157.95
3177,241.32
3767,260.75
1726,120.16
1677,100.84
4456,335.56
326,15.95
2310,168.36
4000,259.71
986,65.57
1271,93.52
3523,242.95
1405,89.89
542,4.49
3964,279.86
2792,194.39
2301,144.51
4743,335.8
4427,328.26
2155,132.67
2553,153.14
875,37.87
765,49.67
1422,85.55
2383,183.27
2010,124.83
3030,215.42
3685,244.1
2703,183.56
2642,170.24
3878,278.4
3930,283.06
1420,107.82
2966,203.37
3179,195.61
2826,186.8
4130,315.78
2993,206.46
2026,136.04
153,30.97
2705,190.21
3523,243.6
3762,270.47
2819,220.04
4755,316.08
877,42.11
3952,267.21
109,7.97
4337,311.18
3376,256.08
4471,303.23
1531,100.19
1089,93.85
2321,167.36
2809,192.36
2192,150.6
1345,114.76
1887,172.43
236,41.03
117,9.77
1263,94.06
4270,312.46
868,38.92
3432,236.27
1578,100.82
3227,231.58
2357,147.48
1440,127.2
3958,280.8
4617,317.95
1511,103.66
908,75.05
2920,183.11
1548,96.59
3540,259.67
3680,247.63
2343,181.04
3880,268.83
4364,302.89
1352,86.28
1304,101.38
500,40.56
3699,254.86
3741,274.88
2814,178.27
4580,312.56
4058,276.07
3206,210.24
1800,129.05
659,27.36
3093,202.59
4321,300.91
2145,132.43
2852,209.26
254,39.36
1755,131.11
1851,126.94
2955,191.16
2984,200.57
3612,239.18
524,54.98
1589,116.52
718,47.64
1618,123.46
272,0.0
4174,289.12
3644,287.38
1444,107.48
4717,301.67
4163,284.8
4663,324.98
1599,123.45
1434,74.9
2547,179.23
4599,314.95
4321,305.69
1981,150.23
2109,156.62
633,49.72
3178,186.35
1319,75.67
1223,69.33
3095,250.67
988,75.01
4874,335.25
3073,224.15
4872,329.68
2184,153.98
1210,99.46
2880,211.94
3921,304.46
2830,201.99
1320,94.05
4555,348.1
3898,264.64
3538,287.21
3476,240.28
3581,251.29
1157,85.33
4881,319.4
2121,144.91
4926,331.41
137,19.09
2261,151.66
2205,153.98
4700,325.9
2780,182.78
3658,269.47
3057,231.76
2863,180.73
1844,124.48
2032,141.33
2957,177.83
637,46.82
2580,187.72
1274,92.92
1074,70.6
870,69.63
2018,146.23
464,9.03
3852,283.36
331,26.96
2457,189.05
4639,320.55
4712,357.86
2533,184.7
2683,205.73
834,53.84
4408,320.39
3208,230.69
2153,158.08
1355,108.42
2345,159.45
3385,210.9
606,61.31
3528,240.34
2859,196.53
1482,105.1
1120,76.45
4574,327.38
4254,262.33
3130,226.04
419,44.35
1578,111.01
3464,252.91
1340,89.15
3405,226.52
1823,133.73
1714,111.03
4618,312.94
993,68.73
1699,103.1
3022,220.66
4646,326.3
2456,194.88
604,24.19
2318,166.68
3734,260.19
4397,323.55
2481,193.68
4928,339.02
2344,164.38
758,45.33
209,27.92
2979,218.44
3394,232.4
3677,241.1
319,14.71
973,92.15
2338,155.1
1763,115.93
1688,106.96
199,21.27
2849,187.0
2753,204.57
2795,199.25
3780,266.87
613,55.08
2301,157.68
4805,356.89
1337,91.21
1264,71.36
1819,125.14
2840,180.46
735,69.2
3977,281.65
400,18.89
4689,339.03
1165,83.53
2148,148.25
4379,294.04
2666,185.25
1829,104.43
4778,356.52
1386,74.86
616,54.6
1118,66.68
534,36.59
4707,343.05
675,64.59
1174,113.08
3159,240.3
4491,306.44
3898,263.67
4866,348.49
1462,104.71
575,37.13
3196,206.52
604,45.98
3332,228.7
362,42.15
885,84.09
3739,243.19
487,32.76
380,22.84
4092,289.18
289,15.33
1841,140.3
2404,160.62
4530,331.45
2481,170.64
4700,338.69
1048,55.65
4963,345.33
4979,357.25
1621,116.29
922,46.57
101,10.82
4931,303.0
359,0.0
2440,168.13
3291,212.66
4343,304.75
501,12.37
3372,266.0
1825,116.51
3795,284.44
2825,199.32
4061,284.95
1994,135.46
129,23.25
4066,294.69
1294,89.84
2689,190.31
1844,149.63
3919,274.7
511,35.07
1660,100.66
4803,338.04
3419,240.17
1199,100.91
3538,254.66
290,28.77
1990,157.91
4418,293.97
4821,346.46
3237,203.52
1185,56.52
1864,121.62
3552,243.73
3338,206.88
1999,127.46
3049,206.72
4791,323.24
1069,89.89
3919,286.07
1117,74.49
1737,129.86
3375,239.38
4179,267.46
4225,313.33
553,47.75
1329,85.32
4574,350.58
1629,103.76
4772,321.1
837,70.93
1889,123.1
2029,148.78
4982,314.36
253,21.75
2067,145.44
3228,239.75
1743,105.46
146,20.37
203,11.86
333,30.54
265,16.02
3039,209.14
2080,143.79
1308,90.14
3228,196.38
4056,282.53
2618,170.8
208,14.4
1259,114.74
4524,334.66
3756,269.6
2634,160.67
4597,309.14
3288,222.96
2704,203.07
2642,192.36
3706,280.22
2674,194.68
1353,105.17
3631,259.44
762,56.87
3783,240.09
3102,210.64
1440,113.15
1973,160.99
4939,339.94
1745,137.02
2252,149.5
1789,119.58
2451,138.29
435,49.54
1283,94.81
3742,251.78
3577,276.84
2235,155.0
2880,222.77
1931,114.63
4251,315.57
4686,342.52
887,60.89
1167,75.78
624,31.82
552,55.38
1619,103.11
2689,153.91
804,74.14
3535,251.99
3099,213.42
4918,339.51
1896,169.18
1486,99.99
2895,197.35
544,33.44
301,10.82
1880,126.16
4761,338.07
1828,121.11
552,11.3
2131,128.61
3209,233.54
3144,202.29
631,50.58
2518,194.89
3947,284.51
4010,282.56
1601,112.95
2191,155.24
2659,185.13
2614,165.33
2591,179.02
4308,314.85
2074,161.38
1188,79.76
2138,156.97
1990,145.44
1727,122.62
3640,257.21
2938,208.45
1920,133.31
3773,263.84
986,80.08
3545,235.92
999,50.23
1709,109.1
3447,237.96
3285,230.4
4912,347.04
3717,251.02
4270,325.59
382,35.27
1002,64.73
596,36.11
882,59.4
3617,263.4
4846,360.35
3404,262.4
1306,102.5
1228,73.42
1307,112.62
121,5.73
1377,95.71
3015,212.14
2691,178.68
688,47.04
3655,244.51
3557,265.77
4080,267.48
3661,279.32
682,56.36
3998,282.64
131,0.0
3168,248.56
4040,309.22
2503,178.3
3584,236.99
2442,161.87
920,63.79
1293,79.13
1711,118.48
2267,145.42
2711,183.96
769,59.07
3802,261.12
4452,304.16
3014,207.61
4255,287.49
4203,285.11
3903,308.72
1218,75.9
3425,245.18
1056,59.93
431,3.27
2056,132.61
2004,139.22
2805,185.16
2373,141.09
697,42.05
985,69.64
2579,191.03
2444,169.76
4102,275.05
2365,182.54
4613,351.35
1043,76.77
2470,194.25
158,21.77
711,78.73
3360,237.3
1606,125.67
845,79.29
2140,150.7
3944,286.95
712,51.29
347,14.44
2810,175.77
1538,125.98
3020,234.7
4845,336.81
1480,91.21
3090,224.71
1606,118.52
2069,122.19
3849,290.78
1672,107.7
4027,277.41
665,36.31
1088,60.86
3941,246.66
2319,164.79
1700,101.91
1389,106.79
4571,319.69
4037,280.69
2251,153.42
2336,171.12
437,32.18
4156,310.59
3813,254.65
1411,129.2
1272,112.63
3125,236.23
1644,111.56
1498,118.22
883,70.31
1394,86.8
2455,159.37
338,21.36
1038,47.92
2685,177.25
3472,236.63
1414,104.6
765,58.73
3155,195.24
2598,204.22
4989,329.3
2515,151.35
1386,107.01
2106,164.88
3755,264.29
2889,209.62
1471,113.77
4218,295.77
2730,196.53
1981,131.64
1618,109.95
830,69.04
1456,120.5
1023,68.42
3298,217.9
2023,181.66
1323,96.8
4740,305.61
1650,107.55
668,12.6
3415,241.74
2154,153.5
1065,75.11
3093,210.66
947,65.18
163,20.67
3749,277.11
918,60.68
886,66.63
4759,344.34
1736,139.85
1693,110.4
987,95.39
1900,146.8
1514,105.74
3686,257.2
696,51.68
3265,213.06
4085,274.21
541,19.75
4019,289.64
4821,334.47
3092,222.1
1231,99.93
3745,276.27
4087,257.43
4451,307.49
4114,267.74
4984,339.41
3822,235.67
3949,289.68
2512,149.8
2835,183.04
4048,269.71
2513,190.41
2305,162.98
2034,133.04
180,0.0
153,16.02
2371,140.01
2931,192.13
1942,162.33
4133,304.14
3816,245.52
3051,233.0
1886,131.92
4600,333.52
682,53.79
3494,241.73
1149,83.24
2175,170.46
3766,288.33
240,20.96
3364,222.9
2378,165.88
4745,364.28
864,71.53
2796,207.54
4664,330.47
2852,211.64
3243,222.43
4857,345.78
1661,102.32
4770,314.49
2356,150.34
3996,298.47
4216,276.35
1973,169.02
3716,273.88
4032,297.07
3394,218.06
414,21.37
4241,301.65
2870,201.66
3265,248.85
1385,90.83
4761,347.52
2310,177.47
3450,244.8
1544,107.32
4489,291.91
3478,247.48
4558,332.44
3701,248.94
3733,243.08
2851,190.72
4417,305.79
182,21.77
720,52.32
3598,239.8
4788,302.43
3336,254.68
3753,240.64
1999,135.71
2005,138.49
1612,84.54
4994,326.08
4489,279.8
1401,111.01
4408,303.76
4665,323.93
3856,269.69
1286,63.3
3807,238.21
3520,250.0
3963,272.79
289,0.0
4468,314.8
1095,79.85
2211,164.07
1658,122.2
4781,340.06
3904,270.65
4606,336.08
1527,117.03
2799,189.65
3337,198.42
2461,161.78
553,21.08
4945,386.99
3365,218.45
2275,173.21
1575,86.1
3265,204.49
869,76.2
3164,212.14
545,72.79
4896,365.97
2819,190.69
2665,163.94
3997,290.14
4644,321.14
3258,244.13
4825,362.32
348,15.58
2923,212.22
993,59.61
2970,223.5
315,7.35
1817,140.08
4648,330.28
4661,304.26
2930,184.8
3247,224.54
3281,219.96
2606,145.35
4854,313.72
775,34.25
1410,107.69
3777,262.18
2587,165.77
3194,215.35
426,43.32
120,30.25
3115,195.58
3623,243.38
2859,206.06
204,8.73
2222,173.5
1260,71.17
4981,340.99
1272,91.62
1602,111.46
4076,279.39
2064,147.57
4805,345.8
4600,313.39
4922,342.17
4367,286.62
647,31.24
3397,223.85
2989,209.5
2439,168.58
3075,231.66
603,28.61
3492,234.84
4404,298.31
2191,194.81
3372,250.19
2357,151.54
3065,200.23
2094,127.12
3675,266.59
1933,161.46
4146,296.59
595,38.47
2503,160.6
2031,158.34
1944,129.88
1085,87.96
3092,241.62
4806,321.14
1232,106.24
549,40.67
1827,133.08
3578,264.88
3017,181.74
2637,194.78
3766,266.97
3941,288.48
602,45.11
4214,287.36
3800,259.18
2730,185.64
1448,110.44
2251,181.32
3306,208.16
1495,90.09
4973,339.44
2639,154.82
4813,319.37
1130,69.03
3750,265.11
4381,310.82
1639,102.44
1032,102.54
168,4.95
841,64.98
1922,137.04
3979,285.09
528,51.77
1932,133.93
3627,266.71
2307,172.93
3507,254.87
1521,109.82
531,20.53
1735,107.98
2217,128.6
4594,337.26
2158,151.86
3444,257.63
2562,160.19
1841,129.16
2820,187.94
613,29.82
2849,186.56
841,100.84
2073,157.85
648,36.04
2365,148.66
3045,204.88
775,79.08
2366,155.19
624,25.92
1767,106.43
470,48.41
1675,102.63
4490,333.71
1850,131.76
3082,228.76
3271,249.6
3399,228.56
2766,205.1
1448,100.87
2780,199.2
1962,173.17
2977,207.69
4762,347.9
4574,347.17
1241,78.07
4131,275.88
3469,240.51
4530,302.96
732,44.42
2030,135.49
1962,134.45
246,2.72
2666,190.43
1287,83.33
3185,218.48
2747,201.88
1832,132.77
2003,157.48
266,37.4
2686,182.36
1021,73.77
2099,152.06
1365,86.66
1884,117.66
4908,355.03
258,35.41
3487,231.95
2283,163.49
1929,125.48
2752,184.11
3715,254.41
3344,245.36
3928,281.65
4100,300.65
2508,176.86
2178,131.83
4810,355.52
3927,288.48
388,0.0
3241,222.76
3118,216.62
146,19.13
953,79.84
757,60.47
1753,121.72
1325,73.55
347,56.09
2338,187.31
575,57.04
3293,253.34
1461,87.27
747,63.13
1626,125.99
1341,65.82
1666,124.32
1988,127.46
3392,245.1
1278,101.59
3765,263.6
1895,147.89
186,28.42
2299,146.34
3048,187.43
974,48.64
3697,287.46
1456,84.91
4729,326.79
843,60.42
1777,109.26
3990,275.52
1215,53.71
4803,353.67
795,65.2
2247,179.73
485,28.42
3281,224.61
4595,325.67
1452,95.01
459,21.92
2280,130.88
2332,191.26
3824,254.96
3408,236.56
956,60.66
1000,67.78
2641,173.04
3820,261.99
3830,296.5
1128,90.0
246,0.0
